Model,MAE,MSE,RMSE,R-squared
Extra Trees Regressor,5.947647043248787,121.43400325376075,11.019709762682535,0.92971460180575
Linear Regressor,6.876253763232842,122.8242436305931,11.08260996474175,0.9289099375778302
Random Forests Regressor,5.961039291211757,119.03736406762927,10.910424559458228,0.9311017646679772
XGBoost Regressor,7.270683337814281,121.47550678872302,11.021592751899474,0.9296905797657684
