Model,MAE,MSE,RMSE,R-squared
Extra Trees Regression Pipeline,6.469802829135056,165.099830933583,12.849117904882927,0.9727287255621733
Random Forest Regression Pipeline,9.560192082288433,193.6958092421673,13.917464181458032,0.9680052272529275
Linear Regression Pipeline,16.56800557061068,433.14601013129527,20.81216015052967,0.9284527207136136
XGBoost Regressive Pipeline,14.391857683995578,359.307843023563,18.955417247414076,0.9406493468869689
Top 6 features in DT X ET,6.564028153394789,170.4289573860635,13.054844211481939,0.9718484577316269
