Model,MSE,RMSE,R-Squared
Linear Regression,117.0214945304053,10.817647365781772,0.9322685399478414
Extra Trees,121.43103088391513,11.019574895789544,0.9297163221986595
Random Forest Regressor,116.52533802862578,10.794690270157165,0.9325557128677803
XGBoost Regressor,110.78342031031826,10.525370317015847,0.9358791063359715
XG Boost trained on Delayed flights,281.1478956766745,16.767465392141848,0.9433867834202004
